Date,Open,High,Low,Close,Volume
08/17/2023,"250.80","250.80","248.20","250.00","899,650"
08/16/2023,"247.00","251.60","246.60","250.80","777,950"
08/15/2023,"245.00","247.00","243.80","246.20","616,980"
08/14/2023,"247.80","249.60","242.80","247.60","349,200"
08/11/2023,"249.00","253.00","247.80","247.80","611,520"
08/10/2023,"253.00","253.00","247.20","249.00","832,560"
08/09/2023,"253.20","254.20","251.20","253.00","347,620"
08/08/2023,"254.00","257.00","253.20","253.20","373,270"
08/07/2023,"260.00","260.00","254.00","254.00","248,980"
08/04/2023,"256.00","260.00","256.00","260.00","600,430"
08/03/2023,"254.00","259.80","254.00","259.60","243,990"
08/02/2023,"261.00","261.00","252.40","253.60","306,300"
08/01/2023,"256.20","261.00","255.20","261.00","411,560"
07/31/2023,"252.80","260.40","252.80","255.00","847,680"
07/28/2023,"257.00","257.00","251.20","252.00","353,910"
07/27/2023,"257.00","259.00","255.60","259.00","429,090"
07/26/2023,"256.00","259.40","253.80","259.20","706,980"
07/25/2023,"258.00","261.40","258.00","259.80","956,060"
07/24/2023,"256.00","259.00","255.60","258.00","300,740"
07/21/2023,"258.00","259.00","255.60","255.60","920,360"
07/20/2023,"255.00","259.60","254.00","258.80","1,500,200"
07/19/2023,"250.00","255.00","250.00","255.00","893,070"
07/18/2023,"250.00","254.40","249.20","250.00","598,460"
07/17/2023,"253.00","253.00","250.00","250.00","478,720"
07/14/2023,"252.60","254.20","249.80","254.20","833,960"
07/13/2023,"244.00","257.00","243.80","253.00","2,958,390"
07/12/2023,"238.00","243.80","237.20","243.60","541,510"
07/11/2023,"236.00","241.80","235.40","236.00","833,210"
07/10/2023,"240.20","242.00","234.80","236.00","346,170"
07/07/2023,"241.00","241.80","240.20","240.20","147,970"
07/06/2023,"241.20","241.80","240.60","241.00","625,890"
07/05/2023,"242.80","242.80","240.20","242.80","227,060"
07/04/2023,"240.40","242.80","240.00","242.80","252,400"
07/03/2023,"239.00","241.40","237.80","240.40","1,583,860"
06/30/2023,"238.80","240.20","237.80","239.20","722,200"
06/29/2023,"238.60","242.00","238.40","238.60","583,490"
06/27/2023,"242.00","244.00","238.60","238.60","826,410"
06/26/2023,"240.40","243.00","240.20","241.80","328,120"
06/23/2023,"242.00","242.00","240.20","240.20","130,160"
06/22/2023,"240.20","242.00","239.20","241.40","341,600"
06/21/2023,"240.00","244.80","240.00","240.00","943,600"
06/20/2023,"240.00","240.20","239.00","240.00","378,370"
06/19/2023,"236.20","240.00","236.00","240.00","399,730"
06/16/2023,"233.20","240.00","233.20","240.00","932,230"
06/15/2023,"234.60","235.00","233.00","234.80","267,190"
06/14/2023,"235.00","235.00","233.00","234.60","138,210"
06/13/2023,"235.00","235.60","233.60","235.00","281,510"
06/09/2023,"235.00","236.00","234.40","235.60","325,880"
06/08/2023,"233.00","235.60","232.40","235.40","330,200"
06/07/2023,"231.00","233.00","231.00","233.00","232,980"
06/06/2023,"232.00","233.00","230.00","231.00","391,730"
06/05/2023,"235.00","236.00","232.00","232.00","309,320"
06/02/2023,"233.40","235.40","231.00","235.00","264,240"
06/01/2023,"235.60","235.60","230.20","230.40","363,880"
05/31/2023,"236.60","236.60","230.20","235.60","2,198,910"
05/30/2023,"237.00","237.80","236.00","236.60","521,390"
05/29/2023,"234.00","237.00","233.20","237.00","354,550"
05/26/2023,"234.00","236.00","231.00","232.60","355,090"
05/25/2023,"231.00","235.80","231.00","234.00","893,350"
05/24/2023,"227.00","231.40","227.00","230.00","459,860"
05/23/2023,"232.00","233.00","228.20","229.00","655,150"
05/22/2023,"232.80","233.00","230.40","231.60","663,410"
05/19/2023,"232.60","235.20","231.20","232.60","443,040"
05/18/2023,"227.20","234.00","227.20","232.40","560,040"
05/17/2023,"225.60","229.40","224.60","227.00","872,060"
05/16/2023,"222.40","226.00","222.40","226.00","409,900"
05/15/2023,"222.60","224.20","222.40","222.60","431,680"
05/12/2023,"225.20","225.40","222.60","222.60","263,110"
